126,6177;        481,6364
126,5253;        481,6546
126,4799;        481,6732
126,4689;        481,6924
126,4024;        481,711
126,332;        481,7303
126,2735;        481,7489
126,2025;        481,7667
126,1212;        481,786
126,0991;        481,8044
126,1087;        481,823
126,1087;        481,8419
126,1199;        481,8601
126,1147;        481,8787
126,0768;        481,8977
126,0454;        481,9169
126,0182;        481,9354
125,9498;        481,9543
125,9436;        481,9732
125,9127;        481,9911
125,8544;        482,0087
125,79;        482,0276
125,7373;        482,0459
125,7047;        482,0637
125,6991;        482,0822
125,6655;        482,1017
125,6549;        482,1197
125,6156;        482,1378
125,5961;        482,1563
125,5746;        482,1736
125,5599;        482,1921
125,5674;        482,2112
125,5903;        482,2298
125,6162;        482,2476
125,627;        482,2664
125,538;        482,2851
125,5269;        482,3036
125,6285;        482,3221
125,5751;        482,3401
125,8007;        482,3589
126,0733;        482,3777
126,277;        482,3967
126,5834;        482,4157
126,8959;        482,4336
126,9324;        482,4524
126,9027;        482,4721
126,96;        482,4911
127,0245;        482,51
127,0347;        482,5281
126,9738;        482,5458
126,9701;        482,5642
126,98;        482,5825
127,0597;        482,6002
127,0548;        482,6184
126,9411;        482,6374
126,8315;        482,6563
126,7122;        482,6745
126,5826;        482,6929
126,4622;        482,7108
126,3533;        482,729
126,2517;        482,7478
126,2139;        482,7668
126,1835;        482,7851
126,117;        482,8034
126,141;        482,8213
126,1299;        482,8391
126,1015;        482,8569
126,0788;        482,8749
126,0335;        482,8937
126,0078;        482,9112
126,0236;        482,9306
126,0524;        482,9493
126,0416;        482,9677
126,0179;        482,9862
125,9969;        483,0046
125,9945;        483,0233
125,9911;        483,0423
125,9809;        483,0617
125,9944;        483,0804
126,0976;        483,0985
126,4062;        483,1166
126,8853;        483,1354
127,3837;        483,1539
127,7492;        483,1725
127,7575;        483,1912
127,7613;        483,2099
127,7677;        483,2285
127,6544;        483,2471
127,1263;        483,2665
126,5208;        483,286
125,8651;        483,3048
125,2033;        483,3223
124,7852;        483,3403
123,9555;        483,3578
123,2493;        483,3752
122,4073;        483,3947
121,5931;        483,4113
120,8153;        483,4323
119,9394;        483,4501
119,5337;        483,4681
118,5939;        483,4874
117,5906;        483,5051
